Location,Routing,Routing - Copy,Location - Copy,
"New Carlisle, QC - Rail service",XEL,XEL,"New Carlisle, QC - Rail service",
"New Chenega, AK",NCN,NCN,"New Chenega, AK",
"New Haven, CT",HVN,HVN,"New Haven, CT",
"New Koliganek, AK",KGK,KGK,"New Koliganek, AK",
New London/Groton,GON,GON,New London/Groton,
New London/Groton,GON,GON,New London/Groton,
"New Orleans, LA",MSY,MSY,"New Orleans, LA",
"New Plymouth, New Zealand",NPL,NPL,"New Plymouth, New Zealand",
"New Richmond, QC - Rail service",XEM,XEM,"New Richmond, QC - Rail service",
"New Stuyahok, AK",KNW,KNW,"New Stuyahok, AK",
"New York, NY - All airports",NYC,NYC,"New York, NY - All airports",
"New York, NY - Kennedy",JFK,JFK,"New York, NY - Kennedy",
"New York, NY - La Guardia",LGA,LGA,"New York, NY - La Guardia",
"Newark, NJ",EWR,EWR,"Newark, NJ",
"Newburgh/Stewart Field, NY",SWF,SWF,"Newburgh/Stewart Field, NY",
"Newcastle, New South Wales, Australia",NTL,NTL,"Newcastle, New South Wales, Australia",
"Newcastle, New South Wales, Australia - Belmont",BEO,BEO,"Newcastle, New South Wales, Australia - Belmont",
"Newcastle, United Kingdom",NCL,NCL,"Newcastle, United Kingdom",
"Newman, WA, Australia",ZNE,ZNE,"Newman, WA, Australia",
"Newport News, VA",PHF,PHF,"Newport News, VA",
"Newquay, United Kingdom",NQY,NQY,"Newquay, United Kingdom",
"Newtok, AK",WWT,WWT,"Newtok, AK",
"Ngaoundere, Cameroon",NGE,NGE,"Ngaoundere, Cameroon",
"Ngau Island, Fiji",NGI,NGI,"Ngau Island, Fiji",
"Ngukurr, NT, Australia",RPM,RPM,"Ngukurr, NT, Australia",
"Nha Trang, Viet Nam",NHA,NHA,"Nha Trang, Viet Nam",
"Niagara Falls, ON - Rail service",XLV,XLV,"Niagara Falls, ON - Rail service",
"Niamey, Niger",NIM,NIM,"Niamey, Niger",
"Nice, France",NCE,NCE,"Nice, France",
"Nicosia, Cyprus",NIC,NIC,"Nicosia, Cyprus",
"Nightmute, AK",NME,NME,"Nightmute, AK",
"Nikolai, AK",NIB,NIB,"Nikolai, AK",
"Nikolski, AK",IKO,IKO,"Nikolski, AK",
"Nimes, France",FNI,FNI,"Nimes, France",
"Ningbo, China",NGB,NGB,"Ningbo, China",
"Nioko, Congo",NIX,NIX,"Nioko, Congo",
"Niuafo'ou, Tonga",NFO,NFO,"Niuafo'ou, Tonga",
"Niuatoputapu, Tonga",NTT,NTT,"Niuatoputapu, Tonga",
"Niue Island, Niue",IUE,IUE,"Niue Island, Niue",
"Nizhnevartovsk, Russia",NJC,NJC,"Nizhnevartovsk, Russia",
"Nizhniy Novgorod, Russia",GOJ,GOJ,"Nizhniy Novgorod, Russia",
"Noatak, AK",WTK,WTK,"Noatak, AK",
"Nojabrxsk, Russia",NOJ,NOJ,"Nojabrxsk, Russia",
"Nome, AK",OME,OME,"Nome, AK",
"Nondalton, AK",NNL,NNL,"Nondalton, AK",
"Noorvik, AK",ORV,ORV,"Noorvik, AK",
"Noranda/Rouyn, QC",YUY,YUY,"Noranda/Rouyn, QC",
"Norderney, Germany",NRD,NRD,"Norderney, Germany",
"Nordholz-Speika, Germany",NDZ,NDZ,"Nordholz-Speika, Germany",
"Norfolk Island, Norfolk Island",NLK,NLK,"Norfolk Island, Norfolk Island",
"Norfolk, NE",OFK,OFK,"Norfolk, NE",
"Norfolk, VA",ORF,ORF,"Norfolk, VA",
"Noril'sk, Russia",NSK,NSK,"Noril'sk, Russia",
"Norman Wells, NT",YVQ,YVQ,"Norman Wells, NT",
"Normanton, QL, Australia",NTN,NTN,"Normanton, QL, Australia",
"Norrkoping, Sweden",NRK,NRK,"Norrkoping, Sweden",
"Norsup, Vanuatu",NUS,NUS,"Norsup, Vanuatu",
"North Bay, ON",YYB,YYB,"North Bay, ON",
"North Bend, OR",OTH,OTH,"North Bend, OR",
"North Caicos, Turks and Caicos Islands",NCA,NCA,"North Caicos, Turks and Caicos Islands",
"North Eleuthera, Bahamas",ELH,ELH,"North Eleuthera, Bahamas",
"North Platte, NE",LBF,LBF,"North Platte, NE",
"North Ronaldsay, United Kingdom",NRL,NRL,"North Ronaldsay, United Kingdom",
"North Spirit Lake, ON",YNO,YNO,"North Spirit Lake, ON",
"Northway, AK",ORT,ORT,"Northway, AK",
"Norway House, MB",YNE,YNE,"Norway House, MB",
"Norwich, United Kingdom",NWI,NWI,"Norwich, United Kingdom",
"Nosara Beach, Costa Rica",NOB,NOB,"Nosara Beach, Costa Rica",
"Nossi-be, Madagascar",NOS,NOS,"Nossi-be, Madagascar",
"Nottingham, United Kingdom",EMA,EMA,"Nottingham, United Kingdom",
"Nouadhiba, Mauritania",NDB,NDB,"Nouadhiba, Mauritania",
"Nouakchott, Mauritania",NKC,NKC,"Nouakchott, Mauritania",
"Noumea, New Caledonia - Magenta",GEA,GEA,"Noumea, New Caledonia - Magenta",
"Noumea, New Caledonia - Tontouta",NOU,NOU,"Noumea, New Caledonia - Tontouta",
"Novgorod, Russia",NVR,NVR,"Novgorod, Russia",
"Novokuznetsk, Russia",NOZ,NOZ,"Novokuznetsk, Russia",
"Novosibirsk, Russia - Tolmachevo",OVB,OVB,"Novosibirsk, Russia - Tolmachevo",
"Nueva Gerona, Cuba",GER,GER,"Nueva Gerona, Cuba",
"Nuevo Laredo, Mexico",NLD,NLD,"Nuevo Laredo, Mexico",
"Nuiqsut, AK",NUI,NUI,"Nuiqsut, AK",
"Nuku Hiva, French Polynesia",NHV,NHV,"Nuku Hiva, French Polynesia",
"Nuku'Alofa, Tonga",TBU,TBU,"Nuku'Alofa, Tonga",
"Nukus, Uzbekistan",NCU,NCU,"Nukus, Uzbekistan",
"Nulato, AK",NUL,NUL,"Nulato, AK",
"Numbulwar, NT, Australia",NUB,NUB,"Numbulwar, NT, Australia",
"Nunapitchuk, AK",NUP,NUP,"Nunapitchuk, AK",
"Nunukan, Indonesia",NNX,NNX,"Nunukan, Indonesia",
"Nuremberg, Germany",NUE,NUE,"Nuremberg, Germany",
"Nuremberg, Germany - Rail service",ZAQ,ZAQ,"Nuremberg, Germany - Rail service",
"Nuuk, Greenland",GOH,GOH,"Nuuk, Greenland",
"Nyala, Sudan",UYL,UYL,"Nyala, Sudan",
"Nyaung, Myanmar",NYU,NYU,"Nyaung, Myanmar",
"Nyngan, NS, Australia",NYN,NYN,"Nyngan, NS, Australia",
"Oakland, CA",OAK,OAK,"Oakland, CA",
"Oaxaca, Mexico",OAX,OAX,"Oaxaca, Mexico",
"Obano, Indonesia",OBD,OBD,"Obano, Indonesia",
"Obihiro, Japan",OBO,OBO,"Obihiro, Japan",
"Ocho Rios, Jamaica",OCJ,OCJ,"Ocho Rios, Jamaica",
"Odense, Denmark",ZBQ,ZBQ,"Odense, Denmark",
"Odessa, Ukraine",ODS,ODS,"Odessa, Ukraine",
"Odessa/Midland, TX",MAF,MAF,"Odessa/Midland, TX",
"Ogdensburg, NY",OGS,OGS,"Ogdensburg, NY",
"Ogoki, ON",YOG,YOG,"Ogoki, ON",
"Ohrid, Macedonia",OHD,OHD,"Ohrid, Macedonia",
"Oita, Japan",OIT,OIT,"Oita, Japan",
"Okaba, Indonedia",OKQ,OKQ,"Okaba, Indonedia",
"Okayama, Japan",OKJ,OKJ,"Okayama, Japan",
"Okhotsk, Russia",OHO,OHO,"Okhotsk, Russia",
"Okinawa, Japan",OKA,OKA,"Okinawa, Japan",
"Oklahoma City, OK",OKC,OKC,"Oklahoma City, OK",
"Okoshiri, Japan",OIR,OIR,"Okoshiri, Japan",
"Oksibil, Indonesia",OKL,OKL,"Oksibil, Indonesia",
"Olbia, Italy",OLB,OLB,"Olbia, Italy",
"Old Crow, YT",YOC,YOC,"Old Crow, YT",
"Olpoi, Vanuatu",OLJ,OLJ,"Olpoi, Vanuatu",
"Olympic Dam, SA, Australia",OLP,OLP,"Olympic Dam, SA, Australia",
"Omaha, NE",OMA,OMA,"Omaha, NE",
"Omboue, Gabon",OMB,OMB,"Omboue, Gabon",
"Omsk, Russia",OMS,OMS,"Omsk, Russia",
"Ondangwa, Namibia",OND,OND,"Ondangwa, Namibia",
"Ontario, CA",ONT,ONT,"Ontario, CA",
"Opapamiska Lake, ON",YBS,YBS,"Opapamiska Lake, ON",
"Oradea, Romania",OMR,OMR,"Oradea, Romania",
"Oran, Algeria",ORN,ORN,"Oran, Algeria",
"Orange County, CA",SNA,SNA,"Orange County, CA",
"Orange, New South Wales, Australia",OAG,OAG,"Orange, New South Wales, Australia",
"Oranjemund, Namibia",OMD,OMD,"Oranjemund, Namibia",
"Orebro, Sweeden - Obrebro-Bofors",ORB,ORB,"Orebro, Sweeden - Obrebro-Bofors",
"Orenburg, Russia",REN,REN,"Orenburg, Russia",
"Orlando, FL - Herndon",ORL,ORL,"Orlando, FL - Herndon",
"Orlando, FL - International",MCO,MCO,"Orlando, FL - International",
"Ormara, Pakistan",ORW,ORW,"Ormara, Pakistan",
"Ornskoldsvik, Sweden",OER,OER,"Ornskoldsvik, Sweden",
"Orsk, Russia",OSW,OSW,"Orsk, Russia",
"Orsta-Volda, Norway",HOV,HOV,"Orsta-Volda, Norway",
"Osaka, Japan - all airports",OSA,OSA,"Osaka, Japan - all airports",
"Osaka, Japan - Itami",ITM,ITM,"Osaka, Japan - Itami",
"Osaka, Japan - Kansai Intl",KIX,KIX,"Osaka, Japan - Kansai Intl",
"Oshawa, ON",YOO,YOO,"Oshawa, ON",
"Oshima, Japan",OIM,OIM,"Oshima, Japan",
"Oshkosh, WI",OSH,OSH,"Oshkosh, WI",
"Osijek, Croatia",OSI,OSI,"Osijek, Croatia",
"Oskarshamn, Sweden",OSK,OSK,"Oskarshamn, Sweden",
"Oslo, Norway",OSL,OSL,"Oslo, Norway",
"Ostersund, Sweden",OSD,OSD,"Ostersund, Sweden",
"Ostrava, Czech Republic",OSR,OSR,"Ostrava, Czech Republic",
"Ottawa, ON - International",YOW,YOW,"Ottawa, ON - International",
"Ottawa, ON - Rail service",XDS,XDS,"Ottawa, ON - Rail service",
"Ottumwa, IA",OTM,OTM,"Ottumwa, IA",
"Otu, Colombia",OTU,OTU,"Otu, Colombia",
"Ouagadougou, Burkina Faso",OUA,OUA,"Ouagadougou, Burkina Faso",
"Ouargla, Algeria",OGX,OGX,"Ouargla, Algeria",
"Ouarzazate, Morocco",OZZ,OZZ,"Ouarzazate, Morocco",
"Oudomxay, Laos",ODY,ODY,"Oudomxay, Laos",
"Oujda, Morocco",OUD,OUD,"Oujda, Morocco",
"Oulu, Finland",OUL,OUL,"Oulu, Finland",
"Ouvea, New Caledonia",UVE,UVE,"Ouvea, New Caledonia",
"Ovda, Israel",VDA,VDA,"Ovda, Israel",
"Owensboro, KY",OWB,OWB,"Owensboro, KY",
"Oxford House, MB",YOH,YOH,"Oxford House, MB",
"Oxnard/Ventura, CA",OXR,OXR,"Oxnard/Ventura, CA",
"Oyem, Gabon",OYE,OYE,"Oyem, Gabon",
"Paama, Vanuatu",PBJ,PBJ,"Paama, Vanuatu",
"Paamiut, Greenland",JFR,JFR,"Paamiut, Greenland",
"Padang, Indonesia",PDG,PDG,"Padang, Indonesia",
"Paderborn, Germany",PAD,PAD,"Paderborn, Germany",
"Paducah, KY",PAH,PAH,"Paducah, KY",
"Page, AZ",PGA,PGA,"Page, AZ",
"Pago Pago, American Samoa",PPG,PPG,"Pago Pago, American Samoa",
"Pakse, Laos",PKZ,PKZ,"Pakse, Laos",
"Pakuashipi, QC",YIF,YIF,"Pakuashipi, QC",
"Pakuba, Uganda",PAF,PAF,"Pakuba, Uganda",
"Palacios, Honduras",PCH,PCH,"Palacios, Honduras",
"Palang Karaya, Indonesia",PKY,PKY,"Palang Karaya, Indonesia",
"Palanga, Lithuania",PLQ,PLQ,"Palanga, Lithuania",
"Palembang, Indonesia",PLM,PLM,"Palembang, Indonesia",
"Palenque, Mexico",PQM,PQM,"Palenque, Mexico",
"Palermo, Sicily, Italy",PMO,PMO,"Palermo, Sicily, Italy",
"Palm Springs, CA",PSP,PSP,"Palm Springs, CA",
"Palma Mallorca, Spain and Canary Islands",PMI,PMI,"Palma Mallorca, Spain and Canary Islands",
"Palmar, Costa Rica",PMZ,PMZ,"Palmar, Costa Rica",
"Palmas, TO, Brazil",PMW,PMW,"Palmas, TO, Brazil",
"Palmerston North, New Zealand",PMR,PMR,"Palmerston North, New Zealand",
"Palu, Indonesia",PLW,PLW,"Palu, Indonesia",
"Pamplona, Spain",PNA,PNA,"Pamplona, Spain",
"Panama City, FL",PFN,PFN,"Panama City, FL",
"Panama City, Panama - Paitilla",PAC,PAC,"Panama City, Panama - Paitilla",
"Panama City, Panama - Tocumen Intl",PTY,PTY,"Panama City, Panama - Tocumen Intl",
"Pangkalanboun, Indonesia",PKN,PKN,"Pangkalanboun, Indonesia",
"Pangkalpinang, Indonesia",PGK,PGK,"Pangkalpinang, Indonesia",
"Pangnirtung, NU",YXP,YXP,"Pangnirtung, NU",
"Panjger, Pakistan",PJG,PJG,"Panjger, Pakistan",
"Pantelleria, Italy",PNL,PNL,"Pantelleria, Italy",
"Papa Westray, United Kingdom",PPW,PPW,"Papa Westray, United Kingdom",
"Papeete, French Polynesia",PPT,PPT,"Papeete, French Polynesia",
"Paphos, Cyprus",PFO,PFO,"Paphos, Cyprus",
"Para Chinar, Pakistan",PAJ,PAJ,"Para Chinar, Pakistan",
"Paraburdoo, WA, Australia",PBO,PBO,"Paraburdoo, WA, Australia",
"Paradise Island, Bahamas",PID,PID,"Paradise Island, Bahamas",
"Paramaribo, Suriname - Zanderij Intl",PBM,PBM,"Paramaribo, Suriname - Zanderij Intl",
"Paramaribo, Suriname - Zorg En Hoop",ORG,ORG,"Paramaribo, Suriname - Zorg En Hoop",
"Parana, ER, Argentina",PRA,PRA,"Parana, ER, Argentina",
"Parasi, Solomon Islands",PRS,PRS,"Parasi, Solomon Islands",
"Parent, QC - Rail service",XFE,XFE,"Parent, QC - Rail service",
"Paris, France - All airports",PAR,PAR,"Paris, France - All airports",
"Paris, France - Beauvais-Tille",BVA,BVA,"Paris, France - Beauvais-Tille",
"Paris, France - Charles Degaulle",CDG,CDG,"Paris, France - Charles Degaulle",
"Paris, France - Orly",ORY,ORY,"Paris, France - Orly",
"Parkersburg, WV/Marietta, OH",PKB,PKB,"Parkersburg, WV/Marietta, OH",
"Parksville, BC - Rail service",XPB,XPB,"Parksville, BC - Rail service",
"Parma/Milan, Italy",PMF,PMF,"Parma/Milan, Italy",
"Parnaiba, PI, Brazil",PHB,PHB,"Parnaiba, PI, Brazil",
"Paro, Bhutan",PBH,PBH,"Paro, Bhutan",
"Pasco, WA",PSC,PSC,"Pasco, WA",
"Pasni, Pakistan",PSI,PSI,"Pasni, Pakistan",
"Paso de Los Libres, Argentina",AOL,AOL,"Paso de Los Libres, Argentina",
"Passo Fundo, RS, Brazil",PFB,PFB,"Passo Fundo, RS, Brazil",
"Pasto, Colombia",PSO,PSO,"Pasto, Colombia",
"Patna, India",PAT,PAT,"Patna, India",
"Patras, Greece",GPA,GPA,"Patras, Greece",
"Pau, France",PUF,PUF,"Pau, France",
"Paulatuk, NT",YPC,YPC,"Paulatuk, NT",
"Pavlodar, Kazakhstan",PWQ,PWQ,"Pavlodar, Kazakhstan",
"Peace River, AB",YPE,YPE,"Peace River, AB",
"Peawanuck, ON",YPO,YPO,"Peawanuck, ON",
"Pechora, Russia",PEX,PEX,"Pechora, Russia",
"Pedro Bay, AK",PDB,PDB,"Pedro Bay, AK",
"Pekanbaru, Indonesia",PKU,PKU,"Pekanbaru, Indonesia",
"Pelican, AK",PEC,PEC,"Pelican, AK",
"Pellston, MI",PLN,PLN,"Pellston, MI",
"Pelotas, RS, Brazil",PET,PET,"Pelotas, RS, Brazil",
"Pemba, Mozambique",POL,POL,"Pemba, Mozambique",
"Pemba, Tanzania - Wawi",PMA,PMA,"Pemba, Tanzania - Wawi",
"Pembroke, ON",YTA,YTA,"Pembroke, ON",
"Penang, Malaysia",PEN,PEN,"Penang, Malaysia",
"Pendleton, OR",PDT,PDT,"Pendleton, OR",
"Penrhyn Island, Cook Islands",PYE,PYE,"Penrhyn Island, Cook Islands",
"Pensacola, FL",PNS,PNS,"Pensacola, FL",
"Penticton, BC",YYF,YYF,"Penticton, BC",
"Penzance, United Kingdom",PZE,PZE,"Penzance, United Kingdom",
"Peoria, IL",PIA,PIA,"Peoria, IL",
"Perce, QC - Rail service",XFG,XFG,"Perce, QC - Rail service",
"Pereira, Colombia",PEI,PEI,"Pereira, Colombia",
"Perigueux, France",PGX,PGX,"Perigueux, France",
"Perito Moreno, SC, Argentina",PMQ,PMQ,"Perito Moreno, SC, Argentina",
"Perm, Russia",PEE,PEE,"Perm, Russia",
"Perpignan, France",PGF,PGF,"Perpignan, France",
"Perryville, AK",KPV,KPV,"Perryville, AK",
"Perth, Western Australia, Australia",PER,PER,"Perth, Western Australia, Australia",
"Perugia, Italy",PEG,PEG,"Perugia, Italy",
"Pescara, Italy",PSR,PSR,"Pescara, Italy",
"Peshawar, Pakistan",PEW,PEW,"Peshawar, Pakistan",
"Petersburg, AK",PSG,PSG,"Petersburg, AK",
"Petrolina, PE, Brazil",PNZ,PNZ,"Petrolina, PE, Brazil",
"Petropaulousk-Kamchats, Russia",PKC,PKC,"Petropaulousk-Kamchats, Russia",
"Petrozavodsk, Russia",PES,PES,"Petrozavodsk, Russia",
"Phalaborwa, South Africa",PHW,PHW,"Phalaborwa, South Africa",
"Philadelphia, PA - International",PHL,PHL,"Philadelphia, PA - International",
"Philadelphia, PA - Trenton/Mercer NJ",TTN,TTN,"Philadelphia, PA - Trenton/Mercer NJ",
"Phitsanulok, Thailand",PHS,PHS,"Phitsanulok, Thailand",
"Phnom Penh, Cambodia",PNH,PNH,"Phnom Penh, Cambodia",
"Phoenix, AZ",PHX,PHX,"Phoenix, AZ",
"Phrae, Thailand",PRH,PRH,"Phrae, Thailand",
"Phu Quoc, Viet Nam - Duong Dang",PQC,PQC,"Phu Quoc, Viet Nam - Duong Dang",
"Phuket, Thailand",HKT,HKT,"Phuket, Thailand",
"Pickle Lake, ON",YPL,YPL,"Pickle Lake, ON",
"Pico Island, Portugal",PIX,PIX,"Pico Island, Portugal",
"Piedras Negras, Mexico",PDS,PDS,"Piedras Negras, Mexico",
"Pierre, SD",PIR,PIR,"Pierre, SD",
"Pietermaritzburg, South Africa",PZB,PZB,"Pietermaritzburg, South Africa",
"Pietersburb, South Africa",PTG,PTG,"Pietersburb, South Africa",
"Pikangikum, ON",YPM,YPM,"Pikangikum, ON",
"Pilot Point, AK",PIP,PIP,"Pilot Point, AK",
"Pilot Point, AK - Ugashnik Bay",UGB,UGB,"Pilot Point, AK - Ugashnik Bay",
"Pilot Station, AK",PQS,PQS,"Pilot Station, AK",
"Pingtung, Taiwan",PIF,PIF,"Pingtung, Taiwan",
"Pisa, Italy - Gal Galilei",PSA,PSA,"Pisa, Italy - Gal Galilei",
"Pittsburgh, PA",PIT,PIT,"Pittsburgh, PA",
"Pituffik, Greenland",THU,THU,"Pituffik, Greenland",
"Piura, Peru",PIU,PIU,"Piura, Peru",
"Placencia, Belize",PLJ,PLJ,"Placencia, Belize",
"Platinum, AK",PTU,PTU,"Platinum, AK",
"Plattsburgh, NY",PLB,PLB,"Plattsburgh, NY",
"Pleiku, Viet Nam",PXU,PXU,"Pleiku, Viet Nam",
"Plettenburg Bay, South Africa",PBZ,PBZ,"Plettenburg Bay, South Africa",
"Plymouth, United Kingdom",PLH,PLH,"Plymouth, United Kingdom",
"Pocatello, ID",PIH,PIH,"Pocatello, ID",
"Podgoriea, Serbia and Montenegro - Golubovci",TGD,TGD,"Podgoriea, Serbia and Montenegro - Golubovci",
"Pohnpei, Micronesia",PNI,PNI,"Pohnpei, Micronesia",
"Point Baker, AK",KPB,KPB,"Point Baker, AK",
"Point Hope, AK",PHO,PHO,"Point Hope, AK",
"Point Lay, AK",PIZ,PIZ,"Point Lay, AK",
"Pointe Noire, Congo",PNR,PNR,"Pointe Noire, Congo",
"Pointe-a-Pitre, Guadeloupe",PTP,PTP,"Pointe-a-Pitre, Guadeloupe",
"Pointe-aux-Trembles, QC - Rail service",XPX,XPX,"Pointe-aux-Trembles, QC - Rail service",
"Points North Landing, SK",YNL,YNL,"Points North Landing, SK",
"Poitiers, France - Biard",PIS,PIS,"Poitiers, France - Biard",
"Poitiers, France - Rail service",XOP,XOP,"Poitiers, France - Rail service",
"Pokhara, Nepal",PKR,PKR,"Pokhara, Nepal",
"Poltava, Ukraine",PLV,PLV,"Poltava, Ukraine",
"Polyarnyj, Russia",PYJ,PYJ,"Polyarnyj, Russia",
"Ponca City, OK",PNC,PNC,"Ponca City, OK",
"Ponce, Puerto Rico",PSE,PSE,"Ponce, Puerto Rico",
"Ponce, Puerto Rico",PSE,PSE,"Ponce, Puerto Rico",
"Pond Inlet, NU",YIO,YIO,"Pond Inlet, NU",
"Ponta Delgada, Portugal",PDL,PDL,"Ponta Delgada, Portugal",
"Ponta Pora, MS, Brazil",PMG,PMG,"Ponta Pora, MS, Brazil",
"Pontianak, Indonesia",PNK,PNK,"Pontianak, Indonesia",
"Poplar Hill, ON",YHP,YHP,"Poplar Hill, ON",
"Popondetta, Papua New Guinea",PNP,PNP,"Popondetta, Papua New Guinea",
"Popraol/Tatry, Slovakia",TAT,TAT,"Popraol/Tatry, Slovakia",
"Porbandar, India",PBD,PBD,"Porbandar, India",
"Pori, Finland",POR,POR,"Pori, Finland",
"Porlamar, Venezuela",PMV,PMV,"Porlamar, Venezuela",
"Port Alberni, BC",YPB,YPB,"Port Alberni, BC",
"Port Alsworth, AK",PTA,PTA,"Port Alsworth, AK",
"Port Angeles, WA",CLM,CLM,"Port Angeles, WA",
"Port Antonio, Jamaica",POT,POT,"Port Antonio, Jamaica",
"Port Arthur/Beaumont, TX",BPT,BPT,"Port Arthur/Beaumont, TX",
"Port Au Prince, Haiti",PAP,PAP,"Port Au Prince, Haiti",
"Port Augusta, SA, Australia",PUG,PUG,"Port Augusta, SA, Australia",
"Port Berge, Madagascar",WPB,WPB,"Port Berge, Madagascar",
"Port Blair, India",IXZ,IXZ,"Port Blair, India",
"Port Clarence, AK",KPC,KPC,"Port Clarence, AK",
"Port Elizabeth, South Africa",PLZ,PLZ,"Port Elizabeth, South Africa",
"Port Gentil, Gabon",POG,POG,"Port Gentil, Gabon",
"Port Harcourt, Nigeria",PHC,PHC,"Port Harcourt, Nigeria",
"Port Hardy, BC",YZT,YZT,"Port Hardy, BC",
"Port Headland, WA, Australia",PHE,PHE,"Port Headland, WA, Australia",
"Port Heiden, AK",PTH,PTH,"Port Heiden, AK",
"Port Hope Simpson, NL",YHA,YHA,"Port Hope Simpson, NL",
"Port Lincoln, SA, Australia",PLO,PLO,"Port Lincoln, SA, Australia",
"Port Macquarie, NS, Australia",PQQ,PQQ,"Port Macquarie, NS, Australia",
"Port Meiner, QC",YPN,YPN,"Port Meiner, QC",
"Port Moller, AK",PML,PML,"Port Moller, AK",
"Port Moresby, Papua New Guinea",POM,POM,"Port Moresby, Papua New Guinea",
"Port of Spain, Trinidad",POS,POS,"Port of Spain, Trinidad",
"Port Protection, AK",PPV,PPV,"Port Protection, AK",
"Port Stanley, Falkland Islands",PSY,PSY,"Port Stanley, Falkland Islands",
"Port Sudan, Sudan",PZU,PZU,"Port Sudan, Sudan",
"Port Vila, Vanuatu",VLI,VLI,"Port Vila, Vanuatu",
"Portage Creek, AK",PCA,PCA,"Portage Creek, AK",
"Portland, ME",PWM,PWM,"Portland, ME",
"Portland, OR",PDX,PDX,"Portland, OR",
"Portland, VI, Australia",PTJ,PTJ,"Portland, VI, Australia",
"Porto Alegre, RS, Brazil",POA,POA,"Porto Alegre, RS, Brazil",
"Porto Santo, Portugal",PXO,PXO,"Porto Santo, Portugal",
"Porto Seguro, Brazil",BPS,BPS,"Porto Seguro, Brazil",
"Porto Velho, RO, Brazil",PVH,PVH,"Porto Velho, RO, Brazil",
"Porto, Portugal",OPO,OPO,"Porto, Portugal",
"Portoviejo, Ecuador",PVO,PVO,"Portoviejo, Ecuador",
"Portsmouth, NH",PSM,PSM,"Portsmouth, NH",
"Posadas, MI, Argentina",PSS,PSS,"Posadas, MI, Argentina",
"Postville, NL",YSO,YSO,"Postville, NL",
"Poughkeepsie, NY",POU,POU,"Poughkeepsie, NY",
"Povungnituk, QC",YPX,YPX,"Povungnituk, QC",
"Powell River, BC",YPW,YPW,"Powell River, BC",
"Poza Rico, Mexico",PAZ,PAZ,"Poza Rico, Mexico",
"Poznan, Poland",POZ,POZ,"Poznan, Poland",
"Prague, Czech Republic",PRG,PRG,"Prague, Czech Republic",
"Praia, Cape Verde",RAI,RAI,"Praia, Cape Verde",
"Pres. Roque Saenz Pena, CH, Argentina",PRQ,PRQ,"Pres. Roque Saenz Pena, CH, Argentina",
"Prescott, AZ",PRC,PRC,"Prescott, AZ",
"Prescott, ON - Rail service",XII,XII,"Prescott, ON - Rail service",
"Presidente Prudente, SP, Brazil",PPB,PPB,"Presidente Prudente, SP, Brazil",
"Presque Isle, ME",PQI,PQI,"Presque Isle, ME",
"Preveza/Lefkas, Greece",PVK,PVK,"Preveza/Lefkas, Greece",
"Prince Albert, SK",YPA,YPA,"Prince Albert, SK",
"Prince George, BC",YXS,YXS,"Prince George, BC",
"Prince George, BC - Rail service",XDV,XDV,"Prince George, BC - Rail service",
"Prince Rupert, BC - Digby Island Airport",YPR,YPR,"Prince Rupert, BC - Digby Island Airport",
"Prince Rupert, BC - Rail service",XDW,XDW,"Prince Rupert, BC - Rail service",
"Princeton, WV",BLF,BLF,"Princeton, WV",
"Pristina, Serbia and Montenegro",PRN,PRN,"Pristina, Serbia and Montenegro",
"Proserpine, QL, Australia",PPP,PPP,"Proserpine, QL, Australia",
"Providence, RI",PVD,PVD,"Providence, RI",
"Providenciales, Turks and Caicos Islands",PLS,PLS,"Providenciales, Turks and Caicos Islands",
"Provincetown, MA",PVC,PVC,"Provincetown, MA",
"Prudhoe Bay/Deadhorse, AK",SCC,SCC,"Prudhoe Bay/Deadhorse, AK",
"Pucallpa, Peru",PCL,PCL,"Pucallpa, Peru",
"Puebla, Mexico",PBC,PBC,"Puebla, Mexico",
"Pueblo, CO",PUB,PUB,"Pueblo, CO",
"Puerto Ayacucha, Venezuela",PYH,PYH,"Puerto Ayacucha, Venezuela",
"Puerto Berria, Colombia",PBE,PBE,"Puerto Berria, Colombia",
"Puerto del Rosario, Spain",FUE,FUE,"Puerto del Rosario, Spain",
"Puerto Deseado, SC, Argentina",PUD,PUD,"Puerto Deseado, SC, Argentina",
"Puerto Escondido, Mexico",PXM,PXM,"Puerto Escondido, Mexico",
"Puerto Jimenez, Costa Rica",PJM,PJM,"Puerto Jimenez, Costa Rica",
"Puerto Lempira, Honduras",PEU,PEU,"Puerto Lempira, Honduras",
"Puerto Madryn, CB, Argentina",PMY,PMY,"Puerto Madryn, CB, Argentina",
"Puerto Maldonado, Peru",PEM,PEM,"Puerto Maldonado, Peru",
"Puerto Montt, Chile",PMC,PMC,"Puerto Montt, Chile",
"Puerto Ordaz, Venezuela",PZO,PZO,"Puerto Ordaz, Venezuela",
"Puerto Plata, Dominican Republic",POP,POP,"Puerto Plata, Dominican Republic",
"Puerto Princesa, Philippines",PPS,PPS,"Puerto Princesa, Philippines",
"Puerto Suarez, Bolivia",PSZ,PSZ,"Puerto Suarez, Bolivia",
"Puerto Vallarta, Mexico",PVR,PVR,"Puerto Vallarta, Mexico",
"Pukatawagan, MB -",XPK,XPK,"Pukatawagan, MB -",
"Pula, Croatia",PUY,PUY,"Pula, Croatia",
"Pullman, WA",PUW,PUW,"Pullman, WA",
